doc,word,count
1,吐露,1
1,トーク,1
1,感覚,1
1,ゲスト,2
1,オールナイト,1
1,月,1
1,イヤ,1
1,時間,1
1,後,2
1,氏,1
1,料理,1
1,苦笑い,1
1,ん,1
1,萩本,1
1,最近,1
1,申し訳,1
1,番組,2
1,ホン,1
1,花,1
1,嫌い,1
1,ニッポン,2
1,談義,1
1,紹介,1
1,開始,2
1,フジテレビ,1
1,ひま,1
1,分,1
1,さん,2
1,弱,1
1,誰,1
1,展開,1
1,週間,1
1,いっぱい,1
1,治郎,1
1,わけ,1
1,フリー,1
1,ほか,1
1,終了,2
1,共通,1
1,辛,1
1,機会,1
1,悩み,1
1,趣味,1
1,愚痴,1
1,坊,1
1,タレント,1
1,年間,1
1,変化,1
1,約束,1
1,こと,2
1,何,1
1,放送,2
1,強調,1
1,その後,1
1,ヨット,1
1,回,1
1,やりとり,1
1,日,1
1,ヶ月,1
1,ペース,1
1,ウイスキー,1
1,日にち,1
1,司会,1
1,まちまち,1
1,曜日,2
1,タモリ,6
1,欽一,1
1,多趣味,1
1,出演,1
1,キャスター,1
1,系,1
1,早々,1
1,引退,1
2,ナウル,1
2,％,1
2,万,4
2,円,3
2,月,1
2,日本,1
2,値上げ,1
2,マグロ,1
2,合意,1
2,料,2
2,幅,1
2,太平洋,1
2,諸島,1
2,島国,1
2,マジュロ,1
2,当初,1
2,負担,1
2,遠洋,2
2,通信,1
2,構成,1
2,方針,1
2,当たり,1
2,首都,1
2,カ国,1
2,年,1
2,水域,1
2,会合,1
2,大幅,1
2,増額,1
2,新た,1
2,時事,1
2,現在,1
2,適用,1
2,こと,1
2,シドニー,1
2,日,2
2,ため,1
2,反発,1
2,豊富,1
2,アジア,1
2,協定,1
2,カツオ,1
2,欧州,1
2,マーシャル,1
2,入漁,2
2,加盟,2
2,ドル,3
2,各国,1
2,漁場,1
2,予想,1
2,漁船,2
2,国,2
3,見解,1
3,あい,1
3,会談,2
3,識者,1
3,２,1
3,今秋,1
3,際,1
3,理事,3
3,文科,1
3,良治,1
3,チーム,1
3,社,1
3,著者,1
3,博文,1
3,省内,1
3,案,1
3,語気,1
3,科学,3
3,指導,1
3,担当,2
3,日,2
3,糧,1
3,検証,2
3,結果,1
3,野依,3
3,再生,1
3,作業,1
3,徹底,1
3,徹底的,2
3,省,1
3,大場,1
3,発表,1
3,不正,3
3,論文,5
3,提出,1
3,要請,1
3,１,2
3,説得,1
3,崖っぷち,1
3,力,1
3,委員,2
3,疑惑,1
3,会,1
3,非常,1
3,国会,1
3,岸,1
3,面会,1
3,浮上,1
3,同日,1
3,染色,1
3,理化学研究所,1
3,やりとり,1
3,輝雄,1
3,舞台,1
3,書,3
3,外部,1
3,改革,4
3,市,1
3,作成,1
3,説明,1
3,理研,5
3,策定,1
3,計画,1
3,出版,1
3,一太,1
3,来週,1
3,設置,1
3,下村,1
3,行動,1
3,方針,1
3,ため,1
3,山本,2
3,研究,3
3,細胞,3
3,危機,1
3,大臣,1
3,報道陣,1
3,問題,3
3,提言,3
3,理解,1
3,法案,1
3,防止,1
3,文部,1
3,国立,1
3,調査,3
3,法人,1
3,後,1
3,３,1
3,センター,1
3,場合,1
3,午前,1
3,開発,1
3,感,1
3,国民,1
3,総合,1
3,科技,1
3,特定,1
3,解体,1
3,神戸,1
3,今,1
3,指定,1
3,技術,1
3,体,1
3,お願い,1
3,相,3
3,疑義,1
3,よう,1
3,定義,1
3,強化,1
3,発生,1
3,図解,1
3,長,4
3,臨時,1
3,認定,1
4,真実,1
4,私,2
4,アイドル,1
4,つもり,1
4,吉川,4
4,気,1
4,フライデー,1
4,事,4
4,メディア,1
4,それ,3
4,誌,1
4,イメージ,1
4,笑,1
4,雅功,1
4,写真,1
4,大,1
4,嘘,2
4,自分,1
4,意味,2
4,コメント,2
4,発売,1
4,柄,1
4,タウン,1
4,言葉,1
4,投稿,1
4,浜田,6
4,別宅,1
4,同誌,1
4,大切,1
4,等身,1
4,側,2
4,都内,1
4,小川,3
4,の,1
4,妻,2
4,多数,1
4,感謝,1
4,講談社,1
4,読者,1
4,記事,1
4,ダウン,1
4,時,1
4,偽り,1
4,当たり前,1
4,前,1
4,職業,1
4,件,1
4,タレント,2
4,グラビア,1
4,報道,2
4,現在,1
4,色々,1
4,こと,2
4,菜摘,1
4,午後,1
4,不倫,2
4,正式,1
4,様子,1
4,週刊,1
4,よう,1
4,直撃,1
4,取材,1
4,日,4
4,麻衣子,1
4,深長,1
4,出入り,1
4,一部,1
4,本質,1
4,ん,1
4,更新,1
4,家族,1
4,今回,1
4,反論,1
4,年,1
4,関係,2
4,マンション,1
4,皆さん,1
4,もの,1
4,姿,1
5,調査,1
5,説明,1
5,ら,1
5,月,1
5,うち,1
5,検査,1
5,曖昧,1
5,死亡,3
5,公表,1
5,関東,1
5,使用,2
5,医療,1
5,報告,1
5,確認,1
5,部分,1
5,室,1
5,事故,1
5,労働省,1
5,有無,1
5,中,1
5,新宿,1
5,患者,1
5,治療,1
5,男児,1
5,区,1
5,経緯,1
5,東京,3
5,因果,1
5,小児,1
5,局,1
5,後日,1
5,人工,1
5,記録,1
5,女子,1
5,年間,1
5,呼吸,1
5,鎮静,1
5,厚生,2
5,医大,1
5,医師,1
5,その後,1
5,よう,1
5,ため,1
5,内部,1
5,薬剤,1
5,人,2
5,日,1
5,剤,1
5,未満,1
5,信越,1
5,診療,1
5,病院,3
5,歳,1
5,投与,2
5,同省,2
5,年,1
5,関係,1
5,法,1
5,当時,1
5,都,2
5,集中,1
6,死傷,1
6,滑落,7
6,死亡,4
6,２,4
6,山々,1
6,涸沢岳,1
6,最多,1
6,級,1
6,夏山,2
6,天候,1
6,神奈川,1
6,天気,2
6,特定,1
6,８月,1
6,兵庫,1
6,香川大学,1
6,午後,1
6,飛,1
6,さん,2
6,春山,1
6,代,1
6,日,4
6,早,1
6,悪化,1
6,側,1
6,冬山,1
6,雪崩,1
6,千,1
6,１,7
6,５,2
6,防衛大学校,1
6,９,2
6,温泉郷,1
6,会,2
6,シーズン,1
6,性,1
6,大切,1
6,死者,1
6,発達,1
6,年,1
6,男性,2
6,日没,1
6,いずれ,1
6,過去,1
6,雷雨,1
6,奥,1
6,部,1
6,校友,1
6,撤退,1
6,積乱雲,1
6,経験,3
6,高山,2
6,市,2
6,県,6
6,消防署,1
6,０,5
6,４,2
6,８,3
6,北アルプス,3
6,山小屋,1
6,岩,1
6,奥穂高岳,1
6,対策,1
6,うち,1
6,県警,2
6,教授,1
6,こと,3
6,原則,1
6,時期,1
6,員,1
6,畠,2
6,危険,1
6,の,2
6,数,1
6,者,6
6,写真,1
6,協議,1
6,豊富,1
6,３,3
6,７,3
6,山並み,1
6,事故,4
6,今年,1
6,末,1
6,中,2
6,岐阜,4
6,課,1
6,連休,1
6,人,7
6,２月,1
6,美奈子,1
6,登山,4
6,山岳,2
6,地域,1
6,メートル,1
6,到着,1
6,さ,1
6,時間,1
6,神坂,1
6,遭難,5
6,中高年,1
6,雪,1
6,ペース,1
6,槍ケ岳,1
6,５月,2
6,件,3
6,けが,1
6,原因,1
7,報道,1
7,石原,1
7,一切,1
7,挑発,1
7,批判,1
7,１,1
7,０,1
7,３,2
7,外務省,1
7,形容,1
7,春,1
7,北京,1
7,映像,1
7,公表,1
7,撤回,1
7,会見,1
7,行動,1
7,局長,1
7,中国,3
7,三つ,1
7,日本,2
7,主張,1
7,定例,1
7,言葉,2
7,国防省,1
7,メートル,1
7,こと,1
7,聖,1
7,恥知らず,1
7,よう,1
7,機,1
7,日,1
7,自衛隊,1
7,接近,1
7,華,1
7,道理,1
7,かし,1
7,側,1
7,軍機,1
7,事実,1
8,予定,1
8,多く,1
8,航空,2
8,丈,2
8,型,1
8,上,1
8,批判,1
8,指摘,1
8,１,5
8,０,2
8,３,5
8,５,1
8,４,1
8,６,1
8,旅客機,1
8,膝,1
8,機内,1
8,乗務,3
8,ＰＲ,1
8,以外,2
8,ところ,1
8,当初,1
8,エアバス,1
8,半年,1
8,用,2
8,性,1
8,会見,1
8,制服,2
8,意味,1
8,波紋,1
8,誘発,1
8,方針,1
8,マーク,1
8,西久保,2
8,採用,1
8,団体,2
8,女性,1
8,客室,1
8,役割,1
8,センチ,2
8,羽田,1
8,関連,1
8,記者,1
8,これ,1
8,新た,1
8,福岡,1
8,社長,2
8,セクハラ,1
8,こと,1
8,路線,1
8,種類,1
8,ミニスカート,1
8,その後,1
8,労組,2
8,線,1
8,話題,1
8,員,3
8,明らか,1
8,形,1
8,日,3
8,関係,2
8,スカイ,1
8,慎一,1
8,導入,1
8,決算,1
8,間,1
8,機種,1
8,用意,1
8,スカート,2
8,ミニ,2
8,就航,1
8,着用,1
8,転換,1
9,増税,1
9,高め,1
9,指摘,1
9,物価,2
9,消費,5
9,確実,1
9,現行,1
9,作用,1
9,一時,1
9,自動車,1
9,記者,1
9,強調,2
9,日,1
9,見方,1
9,夏場,1
9,駆け込み,1
9,耐久,1
9,落ち込み,1
9,引き上げ,1
9,需要,1
9,％,3
9,的,3
9,復帰,1
9,環境,1
9,景気,2
9,会合,2
9,減,2
9,金融,3
9,財,1
9,維持,1
9,循環,1
9,道,1
9,全員,1
9,自信,1
9,減衰,1
9,黒田,2
9,見通し,1
9,後半,1
9,日銀,1
9,影響,1
9,東,1
9,年度,1
9,分析,1
9,推移,1
9,率,3
9,経路,1
9,上,1
9,税,1
9,継続,2
9,以降,1
9,確認,1
9,姿勢,1
9,量的,2
9,半ば,1
9,税率,1
9,前日,1
9,日本,1
9,成長,2
9,会見,1
9,目標,1
9,こと,1
9,所得,1
9,当面,2
9,持ち直し,1
9,総裁,2
9,ごろ,1
9,潜在,1
9,決定,1
9,者,1
9,中心,1
9,前向き,1
9,後,3
9,経済,1
9,上昇,2
9,反動,2
9,政策,1
9,雇用,1
9,今年度,1
9,質,2
9,メカニズム,1
9,改善,1
9,達成,1
9,前半,1
9,台,1
9,先行き,1
9,緩和,2
9,一致,1
10,内,1
10,万,1
10,自主,1
10,月,2
10,個,1
10,破損,1
10,底,1
10,製造,1
10,対象,1
10,表記,1
10,骨,1
10,中,1
10,水,1
10,缶,2
10,着払い,1
10,返品,1
10,混入,1
10,片,1
10,期限,1
10,缶詰,2
10,こと,1
10,回収,2
10,送料,1
10,ため,1
10,判明,1
10,過程,1
10,日,3
10,賞味,1
10,さけ,1
10,金属,1
10,発表,1
10,年,2
11,代表,1
11,ブラジル,3
11,皆さん,1
11,誤審,1
11,Ｗ杯,1
11,物議,2
11,個,1
11,後,1
11,氏,2
11,英語,1
11,１,4
11,０,2
11,３,3
11,日本語,1
11,さん,1
11,写真,1
11,主審,3
11,宇多田,3
11,最初,1
11,周り,1
11,嫌い,1
11,戦,2
11,シンガー・ソングライター,1
11,ファン,1
11,後ろ,1
11,大会,1
11,不運,1
11,日本人,1
11,監督,2
11,結局,1
11,開幕,1
11,これ,1
11,試合,3
11,ＰＫ,6
11,みんな,1
11,決勝,1
11,冗談,1
11,判断,1
11,プレー,1
11,サッカー,2
11,選手,1
11,あれ,1
11,手,1
11,雄一,1
11,点,1
11,こと,1
11,その後,1
11,問題,1
11,日,2
11,不満,2
11,後半,1
11,失礼,1
11,西村,5
11,クロアチア,6
11,鵜呑み,1
11,判定,1
11,得点,1
11,今度,1
11,シーン,1
11,謝罪,2
12,カイロ,1
12,国家,2
12,世界中,1
12,制圧,2
12,系,1
12,毎日新聞,1
12,前身,1
12,指摘,1
12,２,4
12,６,2
12,要衝,1
12,研究所,1
12,一連,1
12,豪語,1
12,当初,1
12,敵対,1
12,示唆,2
12,駐留,1
12,通信,1
12,犯,1
12,日本人,1
12,対立,1
12,方,1
12,神,1
12,テロ,1
12,派,9
12,最終,1
12,員,1
12,電話,1
12,独善,1
12,バグダッド,1
12,掌握,1
12,化,2
12,これ,1
12,名義,1
12,地域,3
12,防衛,1
12,波乱,1
12,抑圧,1
12,大統領,1
12,指導,2
12,ヨルダン,1
12,本格,1
12,反発,1
12,勢い,1
12,参加,1
12,１０月,1
12,政府,2
12,日,3
12,厳格,1
12,地帯,1
12,地方,1
12,側,1
12,欧州,1
12,当時,1
12,イスラム教,2
12,以外,1
12,義勇,1
12,無視,1
12,バント,2
12,的,2
12,略奪,1
12,強硬,1
12,設立,2
12,１,6
12,全身,1
12,５,1
12,諸国,1
12,組織,8
12,無人,1
12,要因,1
12,罰,1
12,過激,3
12,窃盗,1
12,シーア,1
12,中部,2
12,構成,1
12,身代金,1
12,アラブ,1
12,主,1
12,女性,1
12,勢力,1
12,男性,4
12,注力,1
12,シリア,9
12,手,1
12,脅威,1
12,地元,1
12,秋山,1
12,今月,1
12,政権,4
12,メンバー,4
12,油田,1
12,姿勢,2
12,機,1
12,実現,1
12,アフガニスタン,1
12,侵攻,3
12,適用,2
12,密輸,1
12,国,3
12,空爆,1
12,レ,2
12,撤退,2
12,米,5
12,アサド,4
12,我々,1
12,経験,2
12,アフリカ,1
12,主導,1
12,意味,1
12,周辺,1
12,弱体,1
12,物資,1
12,小規模,1
12,ら,2
12,初期,1
12,県,6
12,体制,1
12,要求,1
12,０,5
12,間,2
12,４,3
12,布,1
12,誘拐,2
12,報告,1
12,嫌悪,1
12,殺害,1
12,以降,1
12,社会,1
12,活動,2
12,戦闘,4
12,戦線,1
12,恐れ,1
12,国際,2
12,作戦,2
12,中東,3
12,４月,1
12,実戦,1
12,支援,1
12,住民,1
12,年,6
12,拡大,3
12,絶縁,2
12,軍,4
12,取材,1
12,大学,1
12,こと,3
12,法,1
12,抗争,1
12,放置,1
12,襲撃,1
12,半分,1
12,教義,1
12,信一,1
12,イスラム,4
12,源,1
12,アフガン,1
12,全体,1
12,内戦,1
12,の,1
12,攻撃,3
12,数,1
12,主要,1
12,部族,1
12,容疑,2
12,ＡＦＰ,1
12,着用,1
12,戦略,1
12,スンニ,4
12,支配,4
12,者,6
12,建設,1
12,名,1
12,後,1
12,夏,1
12,容赦,1
12,豊富,2
12,影響,1
12,３,2
12,市民,1
12,北,1
12,同調,1
12,改称,1
12,リゾール,1
12,トップ,1
12,レバノン,1
12,資金,1
12,配布,1
12,事態,1
12,人々,1
12,末,1
12,中,1
12,軍事,1
12,優位,1
12,所長,1
12,都市,2
12,兵,1
12,人,5
12,首都,1
12,千,1
12,掃討,1
12,出身,1
12,地中海,1
12,北部,3
12,目的,1
12,アジア,1
12,命令,2
12,黒,1
12,さ,1
12,隣国,1
12,現在,1
12,イラク,14
12,意見,1
12,聖戦,1
12,家族,1
12,拉致,1
12,目,1
12,歳,1
12,手法,1
12,東岸,1
12,東部,2
12,国土,1
12,西,1
12,人道,1
13,専門,2
13,特別,1
13,昨年,1
13,利用,1
13,友人,1
13,会,1
13,服装,1
13,同省,1
13,制服,1
13,保健,1
13,困難,1
13,活動,1
13,文部,1
13,職員,1
13,回答,2
13,プライバシー,1
13,不足,1
13,科学,1
13,日,1
13,結果,2
13,側,3
13,スカート,1
13,教育,1
13,個別,1
13,省,1
13,万,2
13,小,1
13,学校,7
13,対象,1
13,委員,1
13,実施,1
13,性,6
13,増加,1
13,高校,1
13,家,1
13,全国,2
13,配慮,3
13,余,1
13,高,1
13,それぞれ,1
13,戸籍,1
13,部,1
13,一部,2
13,可能,1
13,把握,2
13,作成,1
13,少数,1
13,例,1
13,上,1
13,生徒,4
13,相談,3
13,児童,4
13,トイレ,2
13,同一,2
13,用,1
13,公表,1
13,うち,1
13,知識,1
13,支援,1
13,年齢,1
13,心,1
13,こと,1
13,明らか,1
13,障害,2
13,事例,2
13,の,6
13,数,1
13,割,2
13,着用,2
13,中学校,1
13,調査,3
13,使用,1
13,ごと,1
13,校,1
13,生活,1
13,室,1
13,配布,1
13,中,2
13,優先,1
13,男子,2
13,人,14
13,更衣,1
13,悩み,2
13,集,1
13,女子,2
13,体,1
13,課題,1
13,対応,5
13,今年度,1
13,意見,1
13,一致,1
13,授業,1
13,大半,1
14,専門,2
14,指摘,1
14,条件,3
14,世代,1
14,海外,1
14,ピーク,1
14,一般,1
14,デフレ,1
14,求職,1
14,学的,1
14,マッチ,1
14,有効,1
14,上,2
14,提示,1
14,人口,3
14,政府,1
14,不足,4
14,一方,1
14,状況,1
14,倍率,2
14,低下,1
14,日,1
14,済み,1
14,ミス,1
14,横ばい,1
14,簡単,1
14,老人,1
14,省,1
14,％,6
14,的,1
14,万,3
14,職種,1
14,統計,1
14,景気,2
14,性,1
14,時代,1
14,企業,3
14,労働省,1
14,家,2
14,長期,1
14,完全,3
14,先月,1
14,サービス,1
14,介護,1
14,はず,1
14,割合,1
14,ため,1
14,不可能,1
14,業,1
14,経済,2
14,声,2
14,可能,1
14,職,3
14,人材,2
14,求人,2
14,数字,4
14,率,7
14,逆,1
14,水準,1
14,月,2
14,調整,1
14,継続,1
14,発表,2
14,勤労,1
14,好景気,1
14,活動,1
14,事務職,1
14,うち,1
14,方針,1
14,カウント,1
14,失業,11
14,疑問,2
14,日本,5
14,拡大,1
14,倍,3
14,現在,1
14,こと,4
14,悲鳴,1
14,解消,1
14,米国,1
14,以上,2
14,ここ,1
14,全体,1
14,現実,1
14,の,8
14,数,2
14,割,1
14,総務,1
14,国,1
14,者,6
14,建設,1
14,採用,1
14,必要,1
14,後,1
14,受け入れ,1
14,一定,1
14,バブル,1
14,上昇,1
14,理由,2
14,別,1
14,関係,1
14,深刻,1
14,季節,1
14,中,2
14,業界,1
14,市場,2
14,発生,1
14,仕事,3
14,これ,1
14,人,14
14,わけ,1
14,雇用,2
14,いくら,1
14,労働,8
14,ゼロ,1
14,定義,2
14,人手,4
14,状態,1
14,歳,1
14,厚生,1
14,一致,1
15,きっかけ,1
15,小森,2
15,ヌード,1
15,見た目,1
15,共演,1
15,一,1
15,三,1
15,歴史,1
15,下,1
15,モデル,1
15,二,1
15,氏,2
15,花嫁,1
15,ん,1
15,そう,1
15,純,2
15,写真,1
15,自身,1
15,愛,1
15,報告,2
15,元気,1
15,様子,1
15,純白,1
15,交際,1
15,結婚,1
15,夫,1
15,セミ,1
15,後悔,1
15,誰,1
15,男の子,1
15,アパレル,1
15,精進,1
15,男児,1
15,発展,1
15,妻,1
15,人,2
15,親父,1
15,逗子,1
15,年,1
15,ショット,1
15,我が家,1
15,今井,2
15,手,1
15,家,1
15,タレント,1
15,降臨,1
15,出産,1
15,経営,1
15,子,2
15,諒,1
15,ミュージックビデオ,1
15,なに,1
15,付,1
15,健康,1
15,背中,1
15,息子,2
15,この世,1
15,様,1
15,日,2
15,音楽,1
15,昨夜,1
15,兄弟,1
15,ブラ,1
15,家族,1
15,月,2
15,翌年,1
15,気持ち,1
15,の,1
15,共,1
15,披露,1
15,会社,1
15,こと,2
15,ユニット,1
15,母子,1
15,新た,1
15,無事,1
16,千尋,2
16,あたり,1
16,昨年,3
16,指摘,1
16,数字,1
16,適応,2
16,キロ,1
16,スムーズ,1
16,プロ,1
16,日本人,2
16,投手,4
16,広島,2
16,ツアー,1
16,獲得,1
16,プレー,2
16,エース,1
16,右腕,1
16,記者,1
16,金,1
16,ヤンキース,3
16,マイル,1
16,注目,1
16,クラス,1
16,通算,1
16,担当,1
16,金子,3
16,大金,1
16,興味,1
16,結果,1
16,年,1
16,数値,1
16,簡単,1
16,・,7
16,意向,1
16,大谷,2
16,価値,1
16,万,1
16,円,1
16,オリックス,2
16,氏,2
16,紙,1
16,コメント,1
16,次,3
16,別れ,1
16,紹介,1
16,イニング,1
16,球団,3
16,評価,2
16,成功,1
16,日本ハム,2
16,入札,2
16,記事,3
16,タレント,1
16,幹部,1
16,ボール,1
16,地元,1
16,最近,1
16,匹敵,1
16,ため,2
16,ワールド,1
16,陣,1
16,左,1
16,インパクト,1
16,特集,1
16,ドル,1
16,スカウト,2
16,平,1
16,候補,1
16,巨人,1
16,億,2
16,率,3
